tweet,cluster_number
"breast cancer risk test devised
",6.0
"paracetamol âno good for back pain
",6.0
"parents rarely spot child obesity
",6.0
"video vaccine to protect from meningitis b
",6.0
"sierra leone in ebola lockdown
",6.0
"antibiotic use linked to diabetes
",6.0
"approach to obesity inexplicable
",6.0
"campaigners make men b vaccine plea
",6.0
"ebolaproof tablet device developed
",6.0
"blood test could cut antibiotics
",6.0
"dentist probe patients contract virus
",6.0
"parents face special needs lottery
",6.0
"lack of sleep link to diabetes
",6.0
"mps back standardised cigarette packs
",6.0
"no restrictions on ebola nurse
",6.0
"liberia ebolafree for one week
",6.0
"black alert trust stops 1000 ops
",6.0
"hospital black alerts extended
",6.0
"video swine flu outbreak spreads across india
",6.0
"patients face fines on free scripts
",6.0
"dozens exposed to superbug in la
",6.0
"disabled children left in pain
",6.0
"call to snoop on antibiotic scripts
",6.0
"schools reopen in ebolahit liberia
",6.0
"video ebola crisis liberia schools reopen
",6.0
"psychosis link to potent cannabis
",6.0
"video pm orders sickness benefits review
",6.0
"pm orders review into sickness benefit
",6.0
"is a complete ban on smoking next
",6.0
"breath test for parkinsons disease
",6.0
"uk ebola response far too slow
",6.0
"video health benefits of oil explained
",6.0
"blood test hope for bowel cancer
",6.0
"new ebola cases rise in 2015
",6.0
"bad hospital report had 300 errors
",6.0
"patients back threeperson babies
",6.0
"diabetes info prescription plan
",6.0
"miliband to pledge longer care visits
",6.0
"video stigma of caring for ebola patients
",6.0
"deadly dip baseballs toxic tradition
",6.0
"ebola vaccine shipped to liberia
",6.0
"falling ebola cases turning point
",6.0
"video peru doctors test portable cancer pen
",6.0
"fitness rubs off on your partner
",6.0
"dentists not clear about costs
",6.0
"clegg backs plan to reduce suicides
",6.0
"poor sleep link to teen drink risk
",6.0
"possible ebola case flown to uk
",6.0
"cannabis addicts let down
",6.0
"labour pledges caps on fat and salt
",6.0
"video pregnant women more at risk of ebola
",6.0
"ebola care centre for pregnant women
",6.0
"poor diabetes care costing lives
",6.0
"video cdc director optimistic on ebola
",6.0
"the secret history of special brew
",6.0
"video boozefree bar and club for london
",6.0
"hospital forced to chain toys to bed
",6.0
"vaccines move to ebola frontline
",6.0
"diabetes life expectancy improving
",6.0
"lifesaving baby screening expanded
",6.0
"video steps to beat hidden killer sepsis
",6.0
"babies of addicts display problems
",6.0
"first ebola case linked to bat play
",6.0
"ebola patient arrives in london
",6.0
"video ebola patient to be flown to london
",6.0
"sierra leone declares ebola lockdown
",6.0
"ebola crisis likely to last a year
",6.0
"ebola vaccine promising in africa
",6.0
"ebola kills top sierra leone doctor
",6.0
"support vulnerable doctors call
",6.0
"car smoke ban to start in october
",6.0
"flu jabs needed after outbreak
",6.0
"ebola vaccine trial interrupted
",6.0
"sierra leone tops ebola cases
",6.0
"â£8m compensation for disabled boy
",6.0
"nigerian medics join ebola response
",6.0
"brain scan call for mild strokes
",6.0
"sickness advice leaflet to be pulled
",6.0
"more economic woe for ebola nations
",6.0
"west africa ebola toll nears 7000
",6.0
"video poor liver disease detection rates
",6.0
"ebola vaccine trial promising
",6.0
"video mp woke from coma and asked to pay bill
",6.0
"delayed c diff outbreak report due
",6.0
"female bosses more depressed
",6.0
"complex jobs may protect memory
",6.0
"double cancer referrals gps urged
",6.0
"abortion protester harassed worker
",6.0
"diabetics denied vital prescriptions
",6.0
"video prince supports educational ebola video
",6.0
"better sexanddementia care call
",6.0
"sierra leone ebola doctor dies in us
",6.0
"mediterranean diet best for obesity
",6.0
"video major milestone in polio battle
",6.0
"major milestone in polio battle
",6.0
"two die after infected kidney op
",6.0
"wikipedia foresees virus outbreaks
",6.0
"nhs has repeated data breaches
",6.0
"video dental patient absolutely furious
",6.0
"gates progress being made on ebola
",6.0
"plant protein could be used in blood
",6.0
"video ebola vaccine trial expands in mali
",6.0
"video rare glimpse inside broadmoor
",6.0
"video inside ukfunded ebola centre
",6.0
"video ebola carers face discrimination
",6.0
"how nhs staff will help treat ebola
",6.0
"how nhs staff will help treat ebola
",6.0
"ebola outbreak cases pass 10000
",6.0
"million ebola vaccine doses for 2015
",6.0
"dozens monitored for ebola in mali
",6.0
"first ebola case in mali confirmed
",6.0
"nine hospitals hit by scan strike
",6.0
"untested drugs bill a step closer
",6.0
"ebola nurse pooley back in africa
",6.0
"ebola spread in west played down
",6.0
"new ovarian cancer test developed
",6.0
"video in 80 seconds ebola vaccine
",6.0
"antiebola text tech set to expand
",6.0
